date,ticker,close_price,sentiment_score,usd_inr_rate,interest_rate,unemployment_rate,return_1,return_direction
2020-05-19,TCS,1802.6361,0.0,75.645,4.4,7.859,0.0,1
2020-05-20,TCS,1807.2148,0.0,75.555,4.4,7.859,0.002540002388723872,1
2020-05-21,TCS,1841.9974,0.0,75.62,4.4,7.859,0.019246522328170368,1
2020-05-22,TCS,1868.9636,0.0,75.95,4.0,7.859,0.014639651500051087,0
2020-05-26,TCS,1797.4094,0.5423,75.459,4.0,7.859,-0.038285496838996735,0
2020-05-26,TCS,1797.4094,0.0,75.459,4.0,7.859,0.0,0
2020-05-26,TCS,1797.4094,0.0,75.459,4.0,7.859,0.0,1
2020-05-27,TCS,1855.0415,-0.5719,75.92,4.0,7.859,0.03206398052664028,0
2020-05-27,TCS,1855.0415,0.1779,75.92,4.0,7.859,0.0,0
2020-05-27,TCS,1855.0415,0.4767,75.92,4.0,7.859,0.0,0
2020-05-28,TCS,1854.1158,0.0,75.66,4.0,7.859,-0.0004990184855703239,0
2020-05-29,TCS,1824.5602,-0.2732,75.605,4.0,7.859,-0.015940536184417486,0
2020-05-29,TCS,1824.5602,0.0,75.605,4.0,7.859,0.0,0
2020-05-29,TCS,1824.5602,0.0,75.605,4.0,7.859,0.0,1
2020-06-01,TCS,1891.9977,0.0,75.605,4.0,7.859,0.03696096188001907,1
2020-06-02,TCS,1893.7555,0.0,75.605,4.0,7.859,0.0009290708968621164,0
2020-06-02,TCS,1893.7555,-0.2263,75.605,4.0,7.859,0.0,0
2020-06-02,TCS,1893.7555,-0.4939,75.605,4.0,7.859,0.0,0
2020-06-02,TCS,1893.7555,0.0,75.605,4.0,7.859,0.0,1
2020-06-03,TCS,1898.3943,0.0,75.605,4.0,7.859,0.002449524239005463,0
2020-06-03,TCS,1898.3943,0.0,75.605,4.0,7.859,0.0,0
2020-06-03,TCS,1898.3943,-0.3818,75.605,4.0,7.859,0.0,1
2020-06-04,TCS,1940.516,0.5267,75.605,4.0,7.859,0.022188067041710058,0
2020-06-05,TCS,1900.3425,0.0,75.605,4.0,7.859,-0.020702483257030613,0
2020-06-05,TCS,1900.3425,-0.3182,75.605,4.0,7.859,0.0,1
2020-06-08,TCS,1922.1453,0.4215,75.605,4.0,7.859,0.011473089719353124,0
2020-06-08,TCS,1922.1453,0.0,75.605,4.0,7.859,0.0,1
2020-06-09,TCS,1922.4241,0.34,75.605,4.0,7.859,0.0001450462667937913,1
2020-06-10,TCS,1956.4739,0.5574,75.605,4.0,7.859,0.017711908626197426,0
2020-06-10,TCS,1956.4739,-0.3182,75.605,4.0,7.859,0.0,0
2020-06-10,TCS,1956.4739,0.0,75.605,4.0,7.859,0.0,0
2020-06-11,TCS,1918.3414,0.0,75.605,4.0,7.859,-0.01949042100689402,0
2020-06-11,TCS,1918.3414,-0.4215,75.605,4.0,7.859,0.0,0
2020-06-11,TCS,1918.3414,0.0,75.605,4.0,7.859,0.0,0
2020-06-11,TCS,1918.3414,-0.2732,75.605,4.0,7.859,0.0,0
2020-06-11,TCS,1918.3414,0.0,75.605,4.0,7.859,0.0,0
2020-06-11,TCS,1918.3414,0.0,75.605,4.0,7.859,0.0,0
2020-06-12,TCS,1892.2245,0.0,75.605,4.0,7.859,-0.01361431286422743,0
2020-06-12,TCS,1892.2245,0.0,75.605,4.0,7.859,0.0,0
2020-06-15,TCS,1883.3176,-0.4019,75.979,4.0,7.859,-0.0047071053144063235,0
2020-06-15,TCS,1883.3176,0.0,75.979,4.0,7.859,0.0,0
2020-06-15,TCS,1883.3176,0.0,75.979,4.0,7.859,0.0,0
2020-06-15,TCS,1883.3176,0.0,75.979,4.0,7.859,0.0,1
